url,kind,status,title,title_length,description,description_length,canonical,lang,robots,h1_count,types,body_words,body_internal_unique,all_internal_unique,video_facade,channel_ctas
https://realtech.cz/,home,200,REALTECH CZ — Tech novinky a analýzy,36,Tech novinky a analýzy bez marketingových řečí. Web YouTube kanálu REALTECH CZ.,79,https://realtech.cz/,cs,max-image-preview:large,1,"EntryPoint,ImageObject,Organization,SearchAction,WebSite",0,0,24,0,5
https://realtech.cz/clanky/,archive,200,Všechny články — REALTECH CZ,28,"Všechny články a analýzy REALTECH CZ — AI, drony, Starlink, mobily a hardware bez marketingových řečí.",102,https://realtech.cz/clanky/,cs,max-image-preview:large,1,"BreadcrumbList,CollectionPage,ItemList,ListItem",0,0,27,0,4
https://realtech.cz/clanky/aa-index-v43-astra-fable/,article,200,AA Index v4.3: Astra i Fable 5.1 mají 53. Rozdíl je v ceně úlohy,64,"Artificial Analysis srovnal frontier. Oba top na 53 bodech. Astra stojí asi 3,26 dolaru za úlohu indexu, Fable 7,63.",116,https://realtech.cz/clanky/aa-index-v43-astra-fable/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",721,3,23,0,5
https://realtech.cz/clanky/amodei-altman-tempo-ai/,article,200,Altman i Amodei chtějí zpomalit tempo AI. Tři kroky pro tvůj účet,65,"Šéfové Anthropicu a OpenAI se 12. 9. shodli, že tempo AI zpomalí sami. Claude Code od 14. 9. o 17 % méně týdně, OpenAI drží největší trénink pozastavený.",153,https://realtech.cz/clanky/amodei-altman-tempo-ai/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",1042,2,21,0,5
https://realtech.cz/clanky/anthropic-claude-opus-5/,article,200,Anthropic vydal Claude Opus 5: skoro výkon vlajkové lodi za polovinu ceny,73,"Nový model se blíží nejsilnějšímu Fable 5, ale stojí půlku. Na programování a kancelářské práci je podle Anthropicu nejlepší na trhu.",133,https://realtech.cz/clanky/anthropic-claude-opus-5/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",389,2,22,0,6
https://realtech.cz/clanky/anthropic-fable-mythos/,article,200,Claude Mythos 5: vláda USA zakázala model Anthropicu,52,Anthropic vydal nejsilnější model své historie a za tři dny mu vláda nařídila ho vypnout.,89,https://realtech.cz/clanky/anthropic-fable-mythos/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",694,1,21,0,6
https://realtech.cz/clanky/anthropic-insights-250-tisic/,article,200,Externí výzkumníci viděli 250 tisíc konverzací Clauda. Surový chat ale ne,73,"Oficiální pilot Anthropic Insights (dřív Clio): Stanford, Oxford a METR dostali agregovaná data z dubna a května 2026. Surový chat neviděli.",140,https://realtech.cz/clanky/anthropic-insights-250-tisic/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",922,0,20,0,6
https://realtech.cz/clanky/anthropic-ipo-dva-biliony-investori/,article,200,Investoři čekají IPO Anthropicu za 2 biliony dolarů. Firma to číslo neřekla,75,Šest investorů podle FT sází na ocenění 2 biliony a termín v říjnu. Anthropic potvrdil jen důvěrný S-1 a květnové kolo za 965 miliard.,134,https://realtech.cz/clanky/anthropic-ipo-dva-biliony-investori/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",400,0,20,0,6
https://realtech.cz/clanky/anthropic-lambda-35-mld-texas/,article,200,Anthropic prý najímá u Lambdy výpočet v Texasu za 35 miliard dolarů,67,"Reuters a Bloomberg z anonymních zdrojů: cloud za 35 miliard s Lambdou v Texasu, zhruba 350 MW, developer Hut 8. Firmy to nekomentovaly. Text WSJ nemáme.",153,https://realtech.cz/clanky/anthropic-lambda-35-mld-texas/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",984,1,21,0,6
https://realtech.cz/clanky/anthropic-nscale-45-miliard/,article,200,Anthropic má podle Bloombergu pronajmout výpočet za 45 miliard. Nepotvrzeno,75,"Bloomberg cituje lidi obeznámené s dohodou: 45 miliard na šest let u Nscale v Západní Virginii, cca 460 MW, čipy Vera Rubin až koncem příštího roku. Firmy mlčí.",160,https://realtech.cz/clanky/anthropic-nscale-45-miliard/,cs,max-image-preview:large,1,"AudioObject,BreadcrumbList,ImageObject,ListItem,NewsArticle,Organization,Person",706,1,21,0,6
